,SSP119_first10_noET_lon,SSP119_last10_noET_lon,SSP245_first10_noET_lon,SSP245_last10_noET_lon,SSP585_first10_noET_lon,SSP585_last10_noET_lon
0,21.417768152756025,21.676387961127432,21.499265991129732,23.359518836087545,21.40031382150778,25.348873345453683
1,21.779122800310915,21.986755524498847,21.830804699792623,23.73234178017009,21.730647198525844,25.722980034269938
2,20.561371580344428,20.69012049784584,20.5263581351619,22.435257593602387,20.570556048156675,24.375029900640698
3,20.096783538567877,20.130944385701753,20.07512259672899,21.914232625929515,20.11771228624002,23.77667440821199
4,19.467193176181354,19.443687546354965,19.44810293650181,21.256135731720633,19.495439373678607,23.069322278971867
5,21.134620402514997,20.963196809316003,21.12994856342857,22.987437244118723,21.16663835862289,24.80149546252852
6,21.234286892455657,21.052820181390416,21.219880273793876,23.13723610614676,21.26058211214115,24.983828020018677
7,20.724002973991958,20.659883578870392,20.68060114602389,22.764061068217188,20.792768765898302,24.646452682642575
8,20.670312759987212,20.665197128716102,20.61472435560887,22.81499940082614,20.729924188728205,24.74569054506344
9,20.471044488069424,20.341034056017463,20.422486433623533,22.60814420869025,20.508523213530964,24.532768124121503
10,20.210195522089748,20.0672461193941,20.17060399469608,22.361255558147207,20.23219917317175,24.310006410037317
11,19.775479037228138,19.600521149578753,19.724007096830917,21.91364678133715,19.80616725355452,23.911621582214877
12,20.34697787429718,20.15700210077665,20.271763228392217,22.456018742960396,20.370239907253563,24.485848028696466
13,20.802527230976636,20.50761650573139,20.719375929867454,22.858546457080536,20.80512860905054,24.808512024908453
14,19.844230046430653,19.547514305050584,19.78654426208965,21.874742937839017,19.838874509487255,23.789013781585197
15,19.112812053285666,19.000885561660255,19.07884087415499,21.266752341917027,19.117972542001098,23.193709631054844
16,20.989838846558428,20.99754082208642,20.983281758532655,23.112501318885336,20.986412110588333,25.003797297749315
17,18.89751475554931,19.08428332956197,18.899617231244292,21.161655125955576,18.91015401495605,23.18862888306768
18,19.560316387451167,19.664434461130725,19.54822525295873,21.657766453540034,19.585698847576623,23.657316316508286
19,20.290714997746647,20.090080782110704,20.282864348715464,22.24478562662381,20.32681561565613,24.124389730434018
20,18.918997409486337,18.66294407378183,18.912910396783218,20.787465241930533,18.9744035618628,22.700714119468785
21,13.431091217621145,13.543606319079004,13.393470701810088,15.378345095153577,13.473933717749105,17.480375151445855
22,15.651681296573827,15.585789082029237,15.646135797940133,17.512395462509346,15.69334624305776,19.511637654647757
23,12.168425458805245,12.30914847430887,12.165491821167791,14.059463738102068,12.185097447635883,16.068772805044887
24,9.054814466429036,9.373953778519137,9.10282432601764,10.942600177385486,9.051049280157542,13.021154889258185
25,7.4845746652674165,7.888425123049615,7.536865793098514,9.398891103024937,7.489892153882408,11.521042221588743
26,4.924062029100298,5.513617452975382,4.981114637096368,6.937112437563314,4.919259190012042,9.14446727812009
27,8.069943532884167,8.406444594669438,8.110918802990511,10.075592190032921,8.041839603390258,12.260746406958503
28,9.946102103136695,10.174158756178201,9.966485174872105,11.963217134298588,9.887672792925855,14.163727180129001
29,16.953643508463074,16.811151527689674,16.936432987291425,18.920905923149974,16.854131556577386,20.978789147239638
30,12.043112914068331,12.344684385215885,12.044829911255079,14.265644337085064,11.937847342140344,16.558599214799983
31,12.152531199079931,12.324419249486596,12.090952593367206,14.221344940219922,12.04016519851757,16.46406941582461
32,12.986908355953403,13.110796744691697,12.932114349950439,15.099622830925796,12.880861775484902,15.46
33,7.058334205565814,7.473962864342525,7.023281207501839,9.225537502994769,6.949414490302672,11.55266764616016
34,5.807059093389114,6.196984650857189,5.744225149348722,7.94419891147021,5.658867078256492,10.222184495196018
35,1.3520719781359958,1.8394935681407105,1.2790201140973636,3.505026533346438,1.2174245563469412,5.779920938053692
36,2.941035885318229,3.330190017444181,2.898742975328446,4.977819138455573,2.8513811813642747,6.89400082160256
37,11.169493719150864,11.087079404367273,11.04424077715629,12.981284228964967,11.047326128393422,15.025220937869506
38,9.1751735615357,9.308840380216225,9.036642582907916,11.064837100728141,9.02381163940072,13.132952839960979
39,11.850699870108372,11.735373431335177,11.733736216278942,13.73121682553051,11.693314368512745,15.749309178317333
40,13.484151796369588,13.269470000876652,13.365237145197,15.3109874136411,13.32474410193123,17.262488434518843
41,15.277911266092588,15.039508715446573,15.145966475823286,17.098868343402216,15.120350125146047,18.993459667560728
42,16.29908474761072,16.120634862868542,16.17390843151327,18.119143369695394,16.16011753611798,19.96182860156125
43,15.651932537660116,15.455334924344584,15.552794855051616,17.48347135162112,15.51449370699828,19.335695254175107
44,13.383565939473044,13.288369920121795,13.2572551991953,15.249914840093595,13.236217175422098,17.16392320518537
45,16.624563668399333,16.26457426619828,16.577291846901574,18.415521931841397,16.517046885188506,20.210182400307133
46,17.216222803687856,16.87022367701934,17.19970312667641,19.06049311845237,17.10954063402056,20.85844139225901
47,18.39510865800719,18.039786873181868,18.372353854987978,20.207771245256254,18.290065549743588,21.939380693593307
48,19.915501691238944,19.460645120264758,19.89997888354543,21.646169857838174,19.791397147439284,23.29723359389567
49,20.24975416598818,19.794303428155786,20.19512283193302,21.965055274168947,20.145117527448065,23.56338516193881
50,18.60099284825941,18.25578776917962,18.579796581650726,20.420640325767238,18.52533829940552,22.075008991479763
51,16.008806100254446,15.762364851561301,16.01224367979131,17.93354540768439,15.908008013545441,19.67309281828716
52,17.068685640808496,16.83837744849012,17.108800632549162,18.970864089707845,16.992498960806813,20.71686887899716
53,14.172484933610349,14.0566113915512,14.198934261343254,16.13946305398423,14.168133884478266,18.01554807000764
54,14.203205437348117,14.08244652863084,14.200973795967798,16.146917979039983,14.18025101736498,18.0260908025748
55,14.311409473857509,14.057059194267083,14.340690817622885,16.222176482668203,14.296230456997591,18.06180853565695
56,16.211954109888723,15.809809258824657,16.289932443882037,18.077674256290663,16.170992249217818,19.906046064534166
57,15.002421051197985,15.012074154390234,15.128896008368656,16.904934128626223,15.019817191782067,18.709833742575654
58,17.14447149660566,16.644183732017495,17.116098287693717,19.010555577830985,17.044634194414243,20.783702702582275
59,15.705193273467785,15.289927417423769,15.851747821008246,17.604278679402512,15.768610218483104,19.474751286225853
60,16.683457255884264,16.035935599733307,16.690310625134714,18.43734209357183,16.78022726703057,20.148010200825354
61,17.403868273496016,16.829752625844378,17.56997713516779,18.792833484036862,17.5968441724778,20.23472318575682
62,10.448673316273073,10.251048498306602,10.366136956784544,12.148666276856261,10.404951070181767,17.34750252809306
63,9.699131770832082,9.403909570298708,9.629235672591392,11.463619535022872,9.680960079245096,12.872303182028418
64,12.117972182095002,11.754611403104775,12.068509928569824,13.817227425608735,12.088487225881352,15.361925883912022
65,9.282174261950331,9.055239843958532,9.180823361465627,11.153611844370175,9.233215480944637,12.702211128962745
66,15.723929263462935,15.082841965062414,15.636351227036585,17.14614656236398,15.700779584436361,18.585100977286288
67,19.235662476046286,18.44112121747827,19.15100115030674,20.655994129292765,19.193158267762158,22.039862601681364
68,17.320214291043783,16.521153940461375,17.2733274968532,18.878450666961157,17.2754287270904,20.385846502253003
69,14.672470073014608,14.16940126333651,14.611133533910674,16.426087783371997,14.641963663148658,17.951435853990972
70,18.38574446013797,17.629160593989468,18.336865220953996,19.979131256712947,18.329778638439166,21.353389611947534
71,16.072197639385593,15.467488164681754,15.96418270296823,17.684416266090125,15.981540671834523,19.1247894926193
72,15.945453624002312,15.527554578624688,15.868021135372999,17.763931272611615,15.889318651935923,19.204980233971185
73,14.75428295336468,14.458185207002543,14.69478514542277,16.552683463822746,14.766262116931614,17.999966659500274
74,18.407780325772308,17.876092603220627,18.33526349539426,20.214194108355457,18.46015693684444,21.655155125645138
75,18.806680550491762,18.47951135672912,18.772149594629866,20.856807759160745,18.93335149074136,22.126359699139755
76,12.286156218093197,12.292161517383988,12.192643283683651,14.539365663333172,12.486313590570887,15.702030298612158
77,2.9411010083676388,3.5964171258948454,2.812245810694151,5.803486045265117,3.2843900126641756,7.128622482708124
78,13.673903729498932,13.596746646460872,13.687313852597129,16.019484458225065,13.993020685549482,17.287651149703095
79,5.860221943723104,6.120159709191682,5.820827299993084,8.464942035857291,6.210992462053184,9.783668494817448
80,11.176011570607386,11.005994379550657,11.172615008098546,13.425719814709055,11.453730314632026,14.731403068673899
81,15.90324667432219,15.487700434751844,15.957959762784753,17.898002699579024,16.134344384685164,19.1432697138477
82,15.952270353433562,15.372361571327133,15.973018659339118,17.7374864380256,16.09991310007871,20.339366099429242
83,14.411831252400361,13.898977202254002,14.3918336019143,16.272789092124242,14.564797729215968,17.59771350743455
84,13.414974715216317,12.931045967291539,13.408423158155472,15.233066182856078,13.549870366450591,16.549250115495568
85,10.994889359537183,10.582281086819648,10.999366515906274,12.885132084399515,11.123862680434115,14.257999455215554
86,16.67020906972789,15.881772449585071,16.633555496510326,18.25622480449863,16.76458389586645,19.58317960160059
87,14.994669774120382,14.367331457701596,14.991001998439401,16.68579150331061,15.014151238380748,18.01226084553872
88,15.964328438697862,15.265799323419685,15.93631694049401,17.627779409862512,15.984681313337774,18.92830901542345
89,9.630511061260677,9.212132226141875,9.610782156849098,11.430748151443936,9.745192766725154,12.71666304003611
90,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0
